EVENT,SEQ,FATAL
20100902X00429,Unknown - Missing aircraft,1
20101014X52201,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20101102X13215,Enroute-change of cruise level - Inflight upset,1
20101102X13215,Enroute-change of cruise level - Loss of control in flight,1
20101102X13215,Prior to flight - Miscellaneous/other,1
20101102X13215,Standing-engine(s) operating - Air traffic event,1
20101102X13215,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20101111X83751,Initial climb - Fuel starvation,1
20101111X83751,Initial climb - Loss of control in flight,1
20101111X83751,Initial climb - Loss of engine power (total),1
20101111X83751,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20110223X01821,Enroute-climb to cruise - Controlled flight into terr/obj (CFIT),1
20110324X23019,Unknown - Unknown or undetermined,1
20110403X03645,Post-impact - Fire/smoke (post-impact),1
20110403X03645,Prior to flight - Preflight or dispatch event,1
20110403X03645,Takeoff - Aerodynamic stall/spin,1
20110403X03645,Takeoff - Simulated/training event,1
20110422X50707,Approach-IFR missed approach - Loss of control in flight,1
20110525X85612,Enroute-cruise - Fire/smoke (non-impact),1
20110525X85612,Maneuvering - Fire/smoke (non-impact),1
20110525X85612,Post-impact - Fire/smoke (post-impact),1
20110525X85612,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20110525X93131,Unknown - Unknown or undetermined,1
20110601X74842,Maneuvering - Controlled flight into terr/obj (CFIT),1
20110601X80900,Approach-VFR go-around - Loss of control in flight,1
20110601X80900,Prior to flight - Aircraft loading event,1
20110601X80900,Prior to flight - Preflight or dispatch event,1
20110601X80900,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20110618X55026,Approach-VFR pattern final - Controlled flight into terr/obj (CFIT),1
20110618X55026,Initial climb - Loss of engine power (partial),1
20110707X35545,Initial climb - Loss of control in flight,1
20110707X35545,Maneuvering - Aerodynamic stall/spin,1
20110707X35545,Prior to flight - Miscellaneous/other,1
20110731X10847,Maneuvering - Midair collision,1
20110731X10847,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20110815X10520,Takeoff - Collision with terr/obj (non-CFIT),1
20110815X10520,Takeoff - Loss of control in flight,1
20110826X75418,Emergency descent - Loss of control in flight,1
20110827X00428,Enroute - Loss of engine power (total),1
20110827X00428,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20110906X02608,Takeoff - Loss of control in flight,1
20111005X90411,Enroute - Unknown or undetermined,1
20111014X02424,Enroute - Controlled flight into terr/obj (CFIT),1
20111117X01741,Enroute-cruise - Loss of control in flight,1
20111117X01741,Enroute-cruise - Unknown or undetermined,1
20111117X01741,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20111126X22009,Enroute - Loss of control in flight,1
20111126X22009,Enroute - VFR encounter with IMC,1
20111126X22009,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20111204X10458,Enroute - Aircraft structural failure,1
20111204X10458,Enroute-cruise - VFR encounter with IMC,1
20111204X10458,Uncontrolled descent - Part(s) separation from AC,1
20111205X04353,Initial climb - Loss of control in flight,1
20111207X32002,Maneuvering - Controlled flight into terr/obj (CFIT),1
20111209X74224,Maneuvering - Aerodynamic stall/spin,1
20111209X74224,Maneuvering - Loss of control in flight,1
20111209X74224,Takeoff - Fire/smoke (non-impact),1
20111209X74224,Takeoff - Powerplant sys/comp malf/fail,1
20111209X74224,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20120320X63919,Initial climb - Collision during takeoff/land,1
20120326X01729,Initial climb - Controlled flight into terr/obj (CFIT),1
20120424X81128,Enroute - Unknown or undetermined,1
20120511X83220,Enroute-cruise - Emergency descent initiated,1
20120511X83220,Enroute-cruise - Fire/smoke (non-impact),1
20120511X83220,Enroute-cruise - Miscellaneous/other,1
20120511X83220,Landing - Collision during takeoff/land,1
20120514X81553,Enroute-change of cruise level - Controlled flight into terr/obj (CFIT),1
20120527X21141,Initial climb - Abrupt maneuver,1
20120527X21141,Initial climb - Aerodynamic stall/spin,1
20120530X50747,Maneuvering - Loss of control in flight,1
20120530X50747,Maneuvering-low-alt flying - Aerodynamic stall/spin,1
20120530X50747,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20120623X90047,Initial climb - Collision with terr/obj (non-CFIT),1
20120623X90047,Initial climb - Loss of lift,1
20120701X53951,Maneuvering-low-alt flying - Collision with terr/obj (non-CFIT),1
20120701X53951,Maneuvering-low-alt flying - Low altitude operation/event,1
20120826X92743,Enroute-cruise - Midair collision,1
20121006X31929,Maneuvering-low-alt flying - Loss of control in flight,1
20121011X32021,Enroute-change of cruise level - Controlled flight into terr/obj (CFIT),1
20121011X32021,Enroute-cruise - Loss of visual reference,1
20121011X32021,Enroute-cruise - VFR encounter with IMC,1
20121128X03236,Enroute-cruise - Loss of visual reference,1
20121203X20807,Maneuvering - Loss of control in flight,1
20121203X20807,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20121203X40515,Approach - Controlled flight into terr/obj (CFIT),1
20121217X41654,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20130111X25405,Enroute-climb to cruise - Loss of control in flight,1
20130111X25405,Enroute-climb to cruise - Structural icing,1
20130111X25405,Post-impact - Fire/smoke (post-impact),1
20130111X25405,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20130124X94007,Approach-IFR missed approach - Attempted remediation/recovery,1
20130124X94007,Approach-IFR missed approach - Collision with terr/obj (non-CFIT),1
20130124X94007,Approach-IFR missed approach - Loss of control in flight,1
20130215X42406,Maneuvering-low-alt flying - Loss of control in flight,1
20130303X91231,Takeoff - Loss of control in flight,1
20130303X91231,Takeoff - Other weather encounter,1
20130321X51224,Unknown - Unknown or undetermined,1
20130417X23236,Takeoff - Loss of control in flight,1
20130531X43432,Maneuvering - Midair collision,1
20130531X43432,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20130617X85842,Initial climb - Loss of control in flight,1
20130621X52631,Initial climb - Loss of control in flight,1
20130621X52631,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20130809X23530,Approach-circling (IFR) - Aerodynamic stall/spin,1
20130809X23530,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20130819X33924,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20130826X43129,Approach - Loss of control in flight,1
20130826X62406,Unknown - Unknown or undetermined,1
20130930X23918,Takeoff - Loss of control in flight,1
20130930X32148,Landing-landing roll - Collision during takeoff/land,1
20130930X32148,Landing-landing roll - Loss of control on ground,1
20130930X32148,Landing-landing roll - Runway excursion,1
20131004X93954,Maneuvering-low-alt flying - Collision with terr/obj (non-CFIT),1
20131004X93954,Maneuvering-low-alt flying - Low altitude operation/event,1
20131021X12556,Approach-IFR missed approach - Loss of control in flight,1
20131021X12556,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20131111X20045,Initial climb - Loss of engine power (total),1
20131120X80518,Initial climb - Loss of control in flight,1
20131120X80518,Initial climb - Powerplant sys/comp malf/fail,1
20131120X80518,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20131130X23954,Approach - Controlled flight into terr/obj (CFIT),1
20131223X13312,Unknown - Unknown or undetermined,1
20131226X35627,Takeoff - Loss of control in flight,1
20140130X70344,Approach - Unknown or undetermined,1
20140203X00647,Approach - Loss of control in flight,1
20140203X00647,Approach - Loss of engine power (partial),1
20140203X00647,Approach - Structural icing,1
20140203X00647,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20140327X91026,Takeoff - Collision during takeoff/land,1
20140424X02718,Maneuvering - Loss of control in flight,1
20140427X94527,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20140428X10808,Enroute - Controlled flight into terr/obj (CFIT),1
20140430X30923,Approach-IFR final approach - Unknown or undetermined,1
20140523X02239,Takeoff - Aerodynamic stall/spin,1
20140523X02239,Takeoff - Windshear or thunderstorm,1
20140630X02437,Enroute - Unknown or undetermined,1
20140721X04532,Maneuvering-low-alt flying - Collision with terr/obj (non-CFIT),1
20140721X04532,Maneuvering-low-alt flying - Loss of control in flight,1
20140825X32653,Maneuvering - Aerodynamic stall/spin,1
20140825X32653,Maneuvering - Loss of control in flight,1
20140825X32653,Prior to flight - Aircraft loading event,1
20140825X32653,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20140827X25654,Prior to flight - Aircraft servicing event,1
20141030X24112,Emergency descent - Collision with terr/obj (non-CFIT),1
20141030X24112,Emergency descent - Loss of control in flight,1
20141030X24112,Initial climb - Loss of engine power (partial),1
20150103X93856,Emergency descent - Collision with terr/obj (non-CFIT),1
20150103X93856,Emergency descent - Off-field or emergency landing,1
20150103X93856,Enroute-cruise - Fuel starvation,1
20150103X93856,Prior to flight - Miscellaneous/other,1
20150120X22925,Enroute - Unknown or undetermined,1
20150211X55543,Initial climb - Loss of control in flight,1
20150211X55543,Takeoff - Miscellaneous/other,1
20150211X55543,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
